asset,model_type,task,stored_at,MSE,RMSE,MAE,R2,Accuracy,F1,Precision,Recall
AAPL,arima,regression,2025-08-13T23:30:42.893288,,,,,,,,
AAPL,lstm,regression,2025-08-13T23:30:42.950888,,,,,,,,
AAPL,stockmixer,regression,2025-08-13T23:30:43.008388,,,,,,,,
AAPL,xgboost,regression,2025-08-13T23:30:44.697120,0.086683655858,0.29442088217,0.269391637977,-5.142635822906,,,,
AAPL,lstm,classification,2025-08-13T23:30:44.820630,,,,,,,,
AAPL,stockmixer,classification,2025-08-13T23:30:44.853725,,,,,,,,
AAPL,xgboost,classification,2025-08-13T23:30:46.171778,,,,,0.628571428571,0.485213032581,0.395102040816,0.628571428571
MSFT,arima,regression,2025-08-13T23:30:46.335775,,,,,,,,
MSFT,lstm,regression,2025-08-13T23:30:46.413230,,,,,,,,
MSFT,stockmixer,regression,2025-08-13T23:30:46.484826,,,,,,,,
MSFT,xgboost,regression,2025-08-13T23:30:47.814147,0.04337293903,0.208261708025,0.189364225321,-4.772184359191,,,,
MSFT,lstm,classification,2025-08-13T23:30:47.932085,,,,,,,,
MSFT,stockmixer,classification,2025-08-13T23:30:47.985450,,,,,,,,
MSFT,xgboost,classification,2025-08-13T23:30:49.390075,,,,,0.711111111111,0.591053391053,0.505679012346,0.711111111111
^GSPC,arima,regression,2025-08-13T23:30:49.529208,,,,,,,,
^GSPC,lstm,regression,2025-08-13T23:30:49.616317,,,,,,,,
^GSPC,stockmixer,regression,2025-08-13T23:30:49.686699,,,,,,,,
^GSPC,xgboost,regression,2025-08-13T23:30:51.034788,0.017412863289,0.131957808746,0.120910016266,-5.233057155991,,,,
^GSPC,lstm,classification,2025-08-13T23:30:51.153001,,,,,,,,
^GSPC,stockmixer,classification,2025-08-13T23:30:51.306253,,,,,,,,
^GSPC,xgboost,classification,2025-08-13T23:30:52.714996,,,,,0.679365079365,0.549656434723,0.461536911061,0.679365079365
IOZ.AX,arima,regression,2025-08-13T23:30:52.824839,,,,,,,,
IOZ.AX,lstm,regression,2025-08-13T23:30:52.872377,,,,,,,,
IOZ.AX,stockmixer,regression,2025-08-13T23:30:52.909365,,,,,,,,
IOZ.AX,xgboost,regression,2025-08-13T23:30:53.858886,0.01454450846,0.120600615505,0.115383687457,-10.81411205619,,,,
IOZ.AX,lstm,classification,2025-08-13T23:30:53.969206,,,,,,,,
IOZ.AX,stockmixer,classification,2025-08-13T23:30:54.001173,,,,,,,,
IOZ.AX,xgboost,classification,2025-08-13T23:30:55.163181,,,,,0.695238095238,0.570251471375,0.48335600907,0.695238095238
CBA.AX,arima,regression,2025-08-13T23:30:55.263935,,,,,,,,
CBA.AX,lstm,regression,2025-08-13T23:30:55.341255,,,,,,,,
CBA.AX,stockmixer,regression,2025-08-13T23:30:55.414575,,,,,,,,
CBA.AX,xgboost,regression,2025-08-13T23:30:56.420885,0.027054229487,0.16448169955,0.160831965796,-21.78618812211,,,,
CBA.AX,lstm,classification,2025-08-13T23:30:56.524485,,,,,,,,
CBA.AX,stockmixer,classification,2025-08-13T23:30:56.595607,,,,,,,,
CBA.AX,xgboost,classification,2025-08-13T23:30:57.924149,,,,,0.603174603175,0.453873958824,0.363819601915,0.603174603175
BHP.AX,arima,regression,2025-08-13T23:30:58.036383,,,,,,,,
BHP.AX,lstm,regression,2025-08-13T23:30:58.078759,,,,,,,,
BHP.AX,stockmixer,regression,2025-08-13T23:30:58.120123,,,,,,,,
BHP.AX,xgboost,regression,2025-08-13T23:30:58.557270,0.061172400099,0.247330548252,0.238125615116,-12.689414162413,,,,
BHP.AX,lstm,classification,2025-08-13T23:30:58.668004,,,,,,,,
BHP.AX,stockmixer,classification,2025-08-13T23:30:58.707285,,,,,,,,
BHP.AX,xgboost,classification,2025-08-13T23:31:00.073157,,,,,0.51746031746,0.35291226672,0.267765180146,0.51746031746
