MSE,RMSE,MAE,R2,asset,model_type,task,stored_at,Accuracy,F1,Precision,Recall
0.044514884603,0.210985508041,0.151772507979,-0.120854319152,AAPL,arima,regression,2025-08-16T19:12:49.299874,,,,
,,,,AAPL,lstm,regression,2025-08-16T19:12:51.540635,,,,
,,,,AAPL,stockmixer,regression,2025-08-16T19:12:55.360139,,,,
0.048250970628,0.219661035752,0.147706591747,-0.214926407492,AAPL,xgboost,regression,2025-08-16T19:12:57.729529,,,,
,,,,AAPL,lstm,classification,2025-08-16T19:12:58.324177,,,,
,,,,AAPL,stockmixer,classification,2025-08-16T19:12:58.469453,,,,
,,,,AAPL,xgboost,classification,2025-08-16T19:13:04.043619,0.761904761905,0.772370486656,0.792358803987,0.761904761905
0.016033603005,0.126623864278,0.106716288324,-0.117897760245,MSFT,arima,regression,2025-08-16T19:13:15.514127,,,,
,,,,MSFT,lstm,regression,2025-08-16T19:13:16.275871,,,,
,,,,MSFT,stockmixer,regression,2025-08-16T19:13:18.867542,,,,
0.016745688427,0.129405132922,0.105166323233,-0.16754590845,MSFT,xgboost,regression,2025-08-16T19:13:21.391096,,,,
,,,,MSFT,lstm,classification,2025-08-16T19:13:21.992799,,,,
,,,,MSFT,stockmixer,classification,2025-08-16T19:13:24.531163,,,,
,,,,MSFT,xgboost,classification,2025-08-16T19:13:28.609109,0.674603174603,0.654609090655,0.815037593985,0.674603174603
0.024370420252,0.156110282339,0.101876492404,-0.375104661002,^GSPC,arima,regression,2025-08-16T19:13:38.199685,,,,
,,,,^GSPC,lstm,regression,2025-08-16T19:13:38.947007,,,,
,,,,^GSPC,stockmixer,regression,2025-08-16T19:13:41.563986,,,,
0.025273808451,0.158977383459,0.127537131454,-0.426078477247,^GSPC,xgboost,regression,2025-08-16T19:13:43.618289,,,,
,,,,^GSPC,lstm,classification,2025-08-16T19:13:44.344542,,,,
,,,,^GSPC,stockmixer,classification,2025-08-16T19:13:46.955093,,,,
,,,,^GSPC,xgboost,classification,2025-08-16T19:13:51.338606,0.460317460317,0.404100529101,0.548340548341,0.460317460317
0.00548906377,0.074088216134,0.055132090153,-0.071933578576,IOZ.AX,arima,regression,2025-08-16T19:13:58.085665,,,,
,,,,IOZ.AX,lstm,regression,2025-08-16T19:13:59.304834,,,,
,,,,IOZ.AX,stockmixer,regression,2025-08-16T19:14:02.163429,,,,
0.005855707015,0.076522591535,0.057914016345,-0.143533622304,IOZ.AX,xgboost,regression,2025-08-16T19:14:04.611461,,,,
,,,,IOZ.AX,lstm,classification,2025-08-16T19:14:05.512490,,,,
,,,,IOZ.AX,stockmixer,classification,2025-08-16T19:14:08.461468,,,,
,,,,IOZ.AX,xgboost,classification,2025-08-16T19:14:12.731517,0.460317460317,0.386432350718,0.44343725357,0.460317460317
0.004500905684,0.067088789552,0.048966509257,-0.018742393434,CBA.AX,arima,regression,2025-08-16T19:14:20.820345,,,,
,,,,CBA.AX,lstm,regression,2025-08-16T19:14:21.827263,,,,
,,,,CBA.AX,stockmixer,regression,2025-08-16T19:14:25.006947,,,,
0.005850496861,0.07648854072,0.057793314836,-0.324211079796,CBA.AX,xgboost,regression,2025-08-16T19:14:27.623138,,,,
,,,,CBA.AX,lstm,classification,2025-08-16T19:14:28.820202,,,,
,,,,CBA.AX,stockmixer,classification,2025-08-16T19:14:29.718573,,,,
,,,,CBA.AX,xgboost,classification,2025-08-16T19:14:34.547840,0.579365079365,0.555961922548,0.543310818817,0.579365079365
0.006807608058,0.082508230242,0.063563744855,-0.061546365313,BHP.AX,arima,regression,2025-08-16T19:14:42.101301,,,,
,,,,BHP.AX,lstm,regression,2025-08-16T19:14:43.410206,,,,
,,,,BHP.AX,stockmixer,regression,2025-08-16T19:14:46.672583,,,,
0.00944854126,0.097203607239,0.077372482393,-0.473361061224,BHP.AX,xgboost,regression,2025-08-16T19:14:49.433771,,,,
,,,,BHP.AX,lstm,classification,2025-08-16T19:14:50.517451,,,,
,,,,BHP.AX,stockmixer,classification,2025-08-16T19:14:53.898909,,,,
,,,,BHP.AX,xgboost,classification,2025-08-16T19:14:58.235105,0.507936507937,0.507936507937,0.507936507937,0.507936507937
