Asset,Model,Task,MSE,RMSE,MAE,R²,MAPE,Baseline_MSE,Fit_Time_s,Pred_Time_s,Accuracy,F1-Score,Precision,Recall
MSFT,arima,regression,0.301795 ± 0.000000,0.546576 ± 0.000000,0.406410 ± 0.000000,-0.1040 ± 0.1023,62.8874 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
MSFT,garch,regression,3.697928 ± 0.000000,1.920735 ± 0.000000,1.848106 ± 0.000000,-12.9152 ± 2.7304,31.2881 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
MSFT,enhanced_arima,regression,0.301795 ± 0.000000,0.546576 ± 0.000000,0.406410 ± 0.000000,-0.1040 ± 0.1023,62.8874 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
MSFT,xgboost,regression,0.322657 ± 0.000000,0.565748 ± 0.000000,0.423057 ± 0.000000,-0.1834 ± 0.0786,70.0381 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
MSFT,garch,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
MSFT,xgboost,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
CBA.AX,arima,regression,30.576222 ± 0.000000,5.454729 ± 0.000000,4.959633 ± 0.000000,0.1600 ± 0.2617,5.7181 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,garch,regression,287.205622 ± 0.000000,16.945627 ± 0.000000,15.850207 ± 0.000000,-6.9580 ± 0.5631,5.9660 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,enhanced_arima,regression,30.576222 ± 0.000000,5.454729 ± 0.000000,4.959633 ± 0.000000,0.1600 ± 0.2617,5.7181 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,xgboost,regression,44.852414 ± 0.000000,6.678444 ± 0.000000,5.278112 ± 0.000000,-0.2380 ± 0.1878,8.0576 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000,,,,
CBA.AX,xgboost,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
